x,y,x_predic,y_predic,,
0,0,2,1,2.236067977,1.592060453
0.5,0.5,2,4,3.807886553,
1,1,2,2,1.414213562,
1.5,1.5,2,4,2.549509757,
2,2,2,4,2,
2.5,2.5,2,4,1.58113883,
3,3,2,3,1,
3.5,3.5,3,4,0.707106781,
4,4,3,4,1,
4.5,4.5,5,3,1.58113883,
5,5,5,3,2,
5,0,5,0,0,
4.5,0.5,5,1,0.707106781,
4,1,4,2,1,
3.5,1.5,5,1,1.58113883,
3,2,2,4,2.236067977,
2.5,2.5,2,4,1.58113883,
2,3,2,4,1,
1.5,3.5,2,4,0.707106781,
1,4,4,2,3.605551275,
0.5,4.5,2,3,2.121320344,
0,5,2,5,2,
2.5,0,4,3,3.354101966,
2.5,0.5,4,2,2.121320344,
2.5,1,2,2,1.118033989,
2.5,1.5,2,2,0.707106781,
2.5,2,3,4,2.061552813,
2.5,2.5,2,4,1.58113883,
2.5,3,2,2,1.118033989,
2.5,3.5,2,3,0.707106781,
2.5,4,4,3,1.802775638,
2.5,4.5,2,4,0.707106781,
2.5,5,2,4,1.118033989,
0,2.5,2,4,2.5,
0.5,2.5,0,3,0.707106781,
1,2.5,4,3,3.041381265,
1.5,2.5,2,4,1.58113883,
2,2.5,1,3,1.118033989,
2.5,2.5,2,4,1.58113883,
3,2.5,3,4,1.5,
3.5,2.5,3,4,1.58113883,
4,2.5,3,4,1.802775638,
4.5,2.5,4,2,0.707106781,
5,2.5,4,3,1.118033989,
