x,y,x_predic,y_predic,,
0,0,2,1,2.236067977,2.010106866
0.5,0.5,1,2,1.58113883,
1,1,5,1,4,
1.5,1.5,0,1,1.58113883,
2,2,0,1,2.236067977,
2.5,2.5,1,2,1.58113883,
3,3,4,5,2.236067977,
3.5,3.5,1,3,2.549509757,
4,4,4,5,1,
4.5,4.5,4,5,0.707106781,
5,5,5,5,0,
5,0,5,0,0,
4.5,0.5,5,0,0.707106781,
4,1,3,2,1.414213562,
3.5,1.5,5,1,1.58113883,
3,2,0,3,3.16227766,
2.5,2.5,1,2,1.58113883,
2,3,0,3,2,
1.5,3.5,1,2,1.58113883,
1,4,0,5,1.414213562,
0.5,4.5,4,5,3.535533906,
0,5,2,3,2.828427125,
2.5,0,2,4,4.031128874,
2.5,0.5,3,0,0.707106781,
2.5,1,4,0,1.802775638,
2.5,1.5,5,1,2.549509757,
2.5,2,5,1,2.692582404,
2.5,2.5,1,2,1.58113883,
2.5,3,1,1,2.5,
2.5,3.5,4,5,2.121320344,
2.5,4,2,3,1.118033989,
2.5,4.5,4,3,2.121320344,
2.5,5,0,1,4.716990566,
0,2.5,0,1,1.5,
0.5,2.5,0,1,1.58113883,
1,2.5,2,4,1.802775638,
1.5,2.5,4,3,2.549509757,
2,2.5,4,1,2.5,
2.5,2.5,4,3,1.58113883,
3,2.5,3,0,2.5,
3.5,2.5,1,3,2.549509757,
4,2.5,5,1,1.802775638,
4.5,2.5,3,2,1.58113883,
5,2.5,2,3,3.041381265,
