x, y, AP1
2.5,0.5,-36.6
2.5,1.0,-43.17
2.5,1.5,-46.25
2.5,2.0,-46.11
2.5,2.5,-49.77
2.5,3.0,-48.91
2.5,3.5,-51.95
2.5,4.0,-61.27
2.5,4.5,-55.85
2.5,5.0,-53.0
2.5,5.5,-55.08
2.5,6.0,-55.34
Waktu : 13.754297733306885
